user_id,last_target_date,channel,personalization_score,past_7d_sessions,past_30d_purchases,days_since_last_purchase,is_pro_customer,product_price,treatment_variant,converted_7d,num_previous_targets
1001,2025-10-01,email,0.46,4,0,33,0,195.03,personalized_text,0,0
1002,2025-10-01,text,0.3,3,1,1,0,70.91,personalized_text,0,4
1003,2025-10-01,push,0.44,4,2,19,0,159.86,personalized_text,0,1
1004,2025-10-01,email,0.23,1,2,8,0,101.14,control,0,0
1005,2025-10-01,email,0.41,4,2,1,0,60.11,personalized_text,0,0
1006,2025-10-01,email,0.21,0,0,8,1,139.54,control,0,1
1007,2025-10-01,email,0.15,3,0,38,0,97.88,control,0,1
1008,2025-10-01,push,0.42,2,0,24,0,60.95,personalized_text,0,3
1009,2025-10-01,push,0.31,4,0,0,0,30.37,personalized_text,0,4
1010,2025-10-01,push,0.22,1,1,15,0,174.72,personalized_text,0,5
1011,2025-10-01,email,0.31,1,0,41,1,176.95,personalized_text,0,3
1012,2025-10-01,text,0.58,1,0,92,0,24.24,personalized_text,0,5
1013,2025-10-01,push,0.64,2,1,62,0,136.05,control,0,5
1014,2025-10-01,email,0.66,3,1,0,0,40.89,personalized_text,0,0
1015,2025-10-01,email,0.54,2,1,7,1,132.8,control,0,5
1016,2025-10-01,email,0.12,1,0,6,0,182.45,control,0,3
1017,2025-10-01,email,0.32,1,0,15,0,59.44,control,0,3
1018,2025-10-01,email,0.72,0,0,31,0,76.11,personalized_text,0,4
1019,2025-10-01,email,0.21,3,1,4,0,161.07,control,0,2
1020,2025-10-01,email,0.48,5,0,74,0,149.72,personalized_text,0,4
1021,2025-10-01,push,0.3,1,1,45,1,87.64,control,0,3
1022,2025-10-01,email,0.22,3,1,16,0,171.22,personalized_text,0,2
1023,2025-10-01,email,0.48,2,4,26,0,184.91,personalized_text,0,5
1024,2025-10-01,email,0.48,0,1,23,0,96.0,control,0,0
1025,2025-10-01,email,0.13,3,1,26,1,17.5,control,1,4
1026,2025-10-01,push,0.53,2,0,59,0,106.79,control,0,1
1027,2025-10-01,email,0.01,1,1,6,1,150.54,personalized_text,0,0
1028,2025-10-01,email,0.21,1,2,34,0,51.81,personalized_text,0,2
1029,2025-10-01,email,0.29,2,1,3,0,28.89,personalized_text,0,0
1030,2025-10-01,email,0.21,3,4,18,0,64.19,personalized_text,1,1
1031,2025-10-01,push,0.28,2,1,30,0,12.2,personalized_text,0,1
1032,2025-10-01,email,0.18,1,1,0,0,145.94,control,0,4
1033,2025-10-01,email,0.26,4,2,3,0,37.75,control,0,5
1034,2025-10-01,text,0.42,1,0,2,0,147.49,personalized_text,0,4
1035,2025-10-01,text,0.28,5,0,14,0,54.56,control,0,3
1036,2025-10-01,push,0.62,2,1,29,0,198.49,control,0,3
1037,2025-10-01,email,0.27,0,0,165,0,111.04,personalized_text,0,0
1038,2025-10-01,email,0.23,1,1,8,0,17.85,personalized_text,0,1
1039,2025-10-01,push,0.75,2,1,4,0,156.81,personalized_text,0,0
1040,2025-10-01,email,0.49,3,1,16,1,87.92,control,0,2
1041,2025-10-01,email,0.39,2,0,4,0,125.39,personalized_text,0,2
1042,2025-10-01,email,0.07,0,0,0,0,190.73,personalized_text,0,3
1043,2025-10-01,email,0.58,0,1,24,0,108.28,control,0,5
1044,2025-10-01,text,0.42,2,1,63,0,162.83,personalized_text,0,0
1045,2025-10-01,email,0.11,1,1,59,0,67.53,control,0,2
1046,2025-10-01,push,0.37,2,2,3,0,145.76,personalized_text,0,3
1047,2025-10-01,email,0.14,2,1,4,0,28.87,personalized_text,0,0
1048,2025-10-01,email,0.53,2,1,20,0,179.74,personalized_text,0,1
1049,2025-10-01,email,0.55,0,1,13,0,47.95,personalized_text,0,2
1050,2025-10-01,email,0.45,0,0,36,0,67.37,personalized_text,0,5
1051,2025-10-01,text,0.19,2,0,20,0,192.06,personalized_text,0,2
1052,2025-10-01,push,0.44,2,0,0,0,39.49,personalized_text,0,1
1053,2025-10-01,text,0.09,2,0,10,0,58.34,control,0,3
1054,2025-10-01,push,0.3,3,3,69,0,120.23,control,0,2
1055,2025-10-01,email,0.23,1,1,21,0,196.33,control,0,1
1056,2025-10-01,text,0.22,4,1,47,0,141.37,personalized_text,0,3
1057,2025-10-01,email,0.09,1,1,15,0,31.7,control,0,4
1058,2025-10-01,email,0.29,0,4,33,0,152.14,control,0,3
1059,2025-10-01,email,0.13,3,0,5,0,90.98,control,0,2
1060,2025-10-01,email,0.19,1,0,40,0,198.54,control,1,3
1061,2025-10-01,email,0.38,4,0,46,0,129.46,control,0,5
1062,2025-10-01,email,0.29,2,0,2,0,111.07,personalized_text,0,2
1063,2025-10-01,push,0.2,2,1,6,0,115.88,control,0,3
1064,2025-10-01,email,0.13,3,1,18,0,131.9,control,0,4
1065,2025-10-01,email,0.35,1,1,30,0,149.05,control,0,3
1066,2025-10-01,email,0.36,3,2,30,0,24.88,personalized_text,0,4
1067,2025-10-01,email,0.17,0,1,33,0,34.83,personalized_text,0,2
1068,2025-10-01,push,0.21,2,2,37,0,67.09,control,1,3
1069,2025-10-01,email,0.3,0,0,21,1,100.81,personalized_text,0,1
1070,2025-10-01,text,0.13,0,0,25,0,69.1,personalized_text,0,5
1071,2025-10-01,push,0.33,1,2,0,0,50.63,control,0,4
1072,2025-10-01,email,0.11,1,1,5,0,185.76,personalized_text,1,0
1073,2025-10-01,email,0.14,1,0,20,1,16.19,control,0,4
1074,2025-10-01,push,0.01,2,2,41,1,188.35,personalized_text,0,3
1075,2025-10-01,push,0.14,1,2,49,0,182.38,personalized_text,0,4
1076,2025-10-01,push,0.05,2,0,39,0,139.92,personalized_text,0,3
1077,2025-10-01,push,0.2,1,1,19,0,16.18,control,0,2
1078,2025-10-01,email,0.17,1,0,9,0,52.82,personalized_text,0,2
1079,2025-10-01,email,0.05,2,2,17,0,196.03,personalized_text,0,5
1080,2025-10-01,email,0.27,1,1,0,1,182.13,personalized_text,1,1
1081,2025-10-01,push,0.53,1,0,27,0,193.27,personalized_text,0,0
1082,2025-10-01,push,0.67,3,1,2,0,199.26,personalized_text,0,5
1083,2025-10-01,email,0.06,1,0,4,0,22.14,control,0,2
1084,2025-10-01,email,0.31,3,0,29,1,118.46,personalized_text,0,1
1085,2025-10-01,email,0.35,1,1,0,0,168.49,personalized_text,1,0
1086,2025-10-01,email,0.4,2,0,25,0,70.74,control,1,1
1087,2025-10-01,push,0.21,0,0,30,1,92.76,control,0,2
1088,2025-10-01,push,0.34,1,2,46,0,63.91,control,0,5
1089,2025-10-01,push,0.41,2,2,2,0,17.23,personalized_text,0,0
1090,2025-10-01,email,0.57,1,0,0,0,23.82,control,1,2
1091,2025-10-01,email,0.29,0,2,43,0,14.07,personalized_text,0,3
1092,2025-10-01,push,0.04,2,0,10,0,110.18,personalized_text,1,5
1093,2025-10-01,push,0.22,2,0,65,0,127.5,control,0,0
1094,2025-10-01,email,0.34,3,2,6,0,68.46,control,1,1
1095,2025-10-01,push,0.18,1,0,26,0,166.97,control,0,3
1096,2025-10-01,email,0.39,1,4,3,1,178.72,personalized_text,1,1
1097,2025-10-01,email,0.08,2,0,15,1,36.55,personalized_text,0,2
1098,2025-10-01,email,0.64,2,1,64,0,19.87,personalized_text,0,2
1099,2025-10-01,email,0.18,2,1,28,1,70.68,personalized_text,0,3
1100,2025-10-01,email,0.1,2,1,35,1,145.47,control,0,3
1101,2025-10-01,email,0.13,3,0,7,0,106.41,personalized_text,0,0
1102,2025-10-01,push,0.49,3,3,76,0,102.74,personalized_text,0,1
1103,2025-10-01,email,0.14,1,0,29,1,38.96,control,0,4
1104,2025-10-01,email,0.32,1,0,3,0,76.78,control,0,2
1105,2025-10-01,text,0.58,3,2,0,0,192.19,personalized_text,1,4
1106,2025-10-01,email,0.13,3,0,0,1,74.71,personalized_text,0,4
1107,2025-10-01,email,0.51,2,0,1,0,122.37,personalized_text,0,3
1108,2025-10-01,push,0.41,2,4,72,0,21.09,control,0,1
1109,2025-10-01,email,0.04,3,2,13,0,22.13,personalized_text,0,4
1110,2025-10-01,email,0.44,2,4,10,0,90.61,personalized_text,0,1
1111,2025-10-01,email,0.44,2,0,16,0,124.78,control,0,3
1112,2025-10-01,email,0.04,3,0,15,0,80.74,control,1,5
1113,2025-10-01,text,0.26,1,0,8,0,44.01,control,0,5
1114,2025-10-01,push,0.29,3,1,2,0,149.83,personalized_text,0,5
1115,2025-10-01,push,0.21,0,1,3,0,36.61,control,0,5
1116,2025-10-01,push,0.19,3,2,27,0,136.92,control,0,4
1117,2025-10-01,push,0.07,1,0,15,1,191.78,control,0,4
1118,2025-10-01,email,0.35,4,1,69,0,99.4,personalized_text,0,2
1119,2025-10-01,push,0.01,2,3,18,0,48.08,control,1,4
1120,2025-10-01,email,0.27,3,0,21,0,169.98,control,0,0
1121,2025-10-01,push,0.21,2,1,79,1,106.04,control,1,3
1122,2025-10-01,push,0.24,1,0,20,0,185.41,personalized_text,0,0
1123,2025-10-01,email,0.37,2,1,20,0,146.91,control,0,5
1124,2025-10-01,email,0.21,3,0,13,0,91.82,control,0,4
1125,2025-10-01,email,0.33,3,1,37,0,127.3,personalized_text,1,4
1126,2025-10-01,email,0.24,1,1,14,0,42.29,personalized_text,1,0
1127,2025-10-01,push,0.18,1,2,26,0,83.57,control,1,2
1128,2025-10-01,push,0.27,1,4,17,0,122.84,personalized_text,0,2
1129,2025-10-01,email,0.37,6,2,22,0,122.11,control,0,0
1130,2025-10-01,email,0.34,3,1,52,0,121.57,personalized_text,0,0
1131,2025-10-01,email,0.02,2,0,16,1,151.27,personalized_text,0,3
1132,2025-10-01,email,0.37,1,0,7,1,30.07,personalized_text,0,2
1133,2025-10-01,email,0.31,0,2,25,1,23.99,control,0,5
1134,2025-10-01,email,0.03,2,1,83,0,38.12,personalized_text,0,1
1135,2025-10-01,text,0.41,0,2,35,0,160.55,control,1,5
1136,2025-10-01,email,0.29,2,3,11,0,22.32,personalized_text,0,4
1137,2025-10-01,email,0.63,0,1,98,0,52.79,control,0,4
1138,2025-10-01,push,0.13,2,1,12,0,58.41,personalized_text,0,0
1139,2025-10-01,email,0.37,1,0,122,0,132.98,control,0,5
1140,2025-10-01,text,0.21,2,3,6,0,86.31,control,0,1
1141,2025-10-01,text,0.5,3,0,238,1,47.81,control,0,2
1142,2025-10-01,email,0.26,3,3,2,0,95.41,control,0,2
1143,2025-10-01,email,0.6,1,0,37,0,140.24,control,0,2
1144,2025-10-01,email,0.08,3,0,40,0,159.35,personalized_text,0,5
1145,2025-10-01,email,0.3,2,1,34,0,33.54,control,0,0
1146,2025-10-01,email,0.37,3,1,45,0,145.8,personalized_text,0,0
1147,2025-10-01,push,0.39,1,1,19,0,10.86,personalized_text,0,4
1148,2025-10-01,email,0.53,1,3,1,0,147.62,personalized_text,1,5
1149,2025-10-01,email,0.31,3,0,13,0,135.59,personalized_text,1,4
1150,2025-10-01,email,0.06,2,1,30,1,99.05,personalized_text,0,2
1151,2025-10-01,text,0.16,5,1,31,0,36.01,control,0,4
1152,2025-10-01,email,0.09,4,1,6,0,155.26,personalized_text,0,4
1153,2025-10-01,email,0.66,1,2,8,1,23.63,control,0,2
1154,2025-10-01,email,0.23,1,0,20,0,180.16,control,0,0
1155,2025-10-01,text,0.2,1,1,39,0,156.96,personalized_text,1,4
1156,2025-10-01,email,0.34,0,1,57,0,150.78,control,0,0
1157,2025-10-01,push,0.37,2,0,2,0,153.33,personalized_text,0,1
